Found 251 opportunities
Exchanges used: bitrue, kucoin, okx, gate, mexc

Opportunity(buy_exchange='gate', sell_exchange='mexc', symbol='VON/USDT', buy_price=2.519e-05, sell_price=342.02763, profit_pct=1357791206.073839, buy_withdraw=True, sell_deposit=True)
Opportunity(buy_exchange='mexc', sell_exchange='gate', symbol='PMX/USDT', buy_price=0.0007247239999999999, sell_price=163.17, profit_pct=22514678.039639916, buy_withdraw=True, sell_deposit=True)
Opportunity(buy_exchange='gate', sell_exchange='kucoin', symbol='HOLD/USDT', buy_price=1.198e-05, sell_price=1.7888, profit_pct=14931452.587646075, buy_withdraw=True, sell_deposit=True)
Opportunity(buy_exchange='kucoin', sell_exchange='gate', symbol='MAX/USDT', buy_price=0.0094, sell_price=565.83, profit_pct=6019368.085106383, buy_withdraw=True, sell_deposit=True)
Opportunity(buy_exchange='kucoin', sell_exchange='okx', symbol='ACE/USDT', buy_price=7.63e-05, sell_price=0.44380000000000003, profit_pct=581551.376146789, buy_withdraw=True, sell_deposit=True)
Opportunity(buy_exchange='kucoin', sell_exchange='gate', symbol='ACE/USDT', buy_price=7.63e-05, sell_price=0.44380000000000003, profit_pct=581551.376146789, buy_withdraw=True, sell_deposit=True)
Opportunity(buy_exchange='kucoin', sell_exchange='mexc', symbol='ACE/USDT', buy_price=7.63e-05, sell_price=0.443556, profit_pct=581231.5858453474, buy_withdraw=True, sell_deposit=True)
Opportunity(buy_exchange='kucoin', sell_exchange='bitrue', symbol='ACE/USDT', buy_price=7.63e-05, sell_price=0.4411, profit_pct=578012.7129750983, buy_withdraw=True, sell_deposit=True)
Opportunity(buy_exchange='kucoin', sell_exchange='gate', symbol='ZERO/USDT', buy_price=2.92e-05, sell_price=0.11875, profit_pct=406578.08219178085, buy_withdraw=True, sell_deposit=True)
Opportunity(buy_exchange='mexc', sell_exchange='gate', symbol='ZERO/USDT', buy_price=2.9369339999999996e-05, sell_price=0.11875, profit_pct=404233.226419116, buy_withdraw=True, sell_deposit=True)
Opportunity(buy_exchange='gate', sell_exchange='kucoin', symbol='TAP/USDT', buy_price=0.00014572, sell_price=0.346, profit_pct=237341.6689541586, buy_withdraw=True, sell_deposit=True)
Opportunity(buy_exchange='gate', sell_exchange='mexc', symbol='TAP/USDT', buy_price=0.00014572, sell_price=0.34565399999999996, profit_pct=237104.22728520443, buy_withdraw=True, sell_deposit=True)
Opportunity(buy_exchange='gate', sell_exchange='mexc', symbol='AIX/USDT', buy_price=0.0033819999999999996, sell_price=4.7355447150000005, profit_pct=139922.0199586044, buy_withdraw=True, sell_deposit=True)
Opportunity(buy_exchange='gate', sell_exchange='bitrue', symbol='CARAT/USDT', buy_price=0.0004614, sell_price=0.3988999999999999, profit_pct=86354.26961421758, buy_withdraw=True, sell_deposit=True)
Opportunity(buy_exchange='gate', sell_exchange='mexc', symbol='BAC/USDT', buy_price=0.001897, sell_price=1.2576410999999998, profit_pct=66196.3152345809, buy_withdraw=True, sell_deposit=True)
Opportunity(buy_exchange='gate', sell_exchange='mexc', symbol='X/USDT', buy_price=4.119e-05, sell_price=0.018047933999999998, profit_pct=43716.30007283321, buy_withdraw=True, sell_deposit=True)
Opportunity(buy_exchange='kucoin', sell_exchange='mexc', symbol='X/USDT', buy_price=4.127e-05, sell_price=0.018047933999999998, profit_pct=43631.36418706081, buy_withdraw=True, sell_deposit=True)
Opportunity(buy_exchange='mexc', sell_exchange='gate', symbol='PALM/USDT', buy_price=0.0007507499999999999, sell_price=0.1979, profit_pct=26260.30636030636, buy_withdraw=True, sell_deposit=True)
Opportunity(buy_exchange='gate', sell_exchange='mexc', symbol='REAL/USDT', buy_price=0.00028019, sell_price=0.07354638000000001, profit_pct=26148.75263214248, buy_withdraw=True, sell_deposit=True)
Opportunity(buy_exchange='gate', sell_exchange='mexc', symbol='CULT/USDT', buy_price=3.348e-06, sell_price=0.0006707286, profit_pct=19933.709677419352, buy_withdraw=True, sell_deposit=True)
Opportunity(buy_exchange='kucoin', sell_exchange='mexc', symbol='PBX/USDT', buy_price=0.0001034, sell_price=0.01822176, profit_pct=17522.591876208895, buy_withdraw=True, sell_deposit=True)
Opportunity(buy_exchange='gate', sell_exchange='mexc', symbol='PBX/USDT', buy_price=0.00010481999999999999, sell_price=0.01822176, profit_pct=17283.858042358333, buy_withdraw=True, sell_deposit=True)
Opportunity(buy_exchange='gate', sell_exchange='mexc', symbol='BLOCK/USDT', buy_price=0.0005014, sell_price=0.04995998999999999, profit_pct=9864.098524132425, buy_withdraw=True, sell_deposit=True)
Opportunity(buy_exchange='kucoin', sell_exchange='mexc', symbol='BLOCK/USDT', buy_price=0.000512, sell_price=0.04995998999999999, profit_pct=9657.810546874998, buy_withdraw=True, sell_deposit=True)
Opportunity(buy_exchange='gate', sell_exchange='mexc', symbol='WX/USDT', buy_price=0.00011084, sell_price=0.008091899999999999, profit_pct=7200.52327679538, buy_withdraw=True, sell_deposit=True)
Opportunity(buy_exchange='bitrue', sell_exchange='kucoin', symbol='BERT/USDT', buy_price=0.0014157, sell_price=0.07955, profit_pct=5519.128346401073, buy_withdraw=True, sell_deposit=True)
Opportunity(buy_exchange='bitrue', sell_exchange='gate', symbol='BERT/USDT', buy_price=0.0014157, sell_price=0.07909, profit_pct=5486.635586635586, buy_withdraw=True, sell_deposit=True)
Opportunity(buy_exchange='bitrue', sell_exchange='mexc', symbol='BERT/USDT', buy_price=0.0014157, sell_price=0.07880411699999999, profit_pct=5466.441830896375, buy_withdraw=True, sell_deposit=True)
Opportunity(buy_exchange='kucoin', sell_exchange='bitrue', symbol='DC/USDT', buy_price=2.02e-05, sell_price=0.00076827, profit_pct=3703.3168316831693, buy_withdraw=True, sell_deposit=True)
Opportunity(buy_exchange='mexc', sell_exchange='bitrue', symbol='DC/USDT', buy_price=2.1111089999999998e-05, sell_price=0.00076827, profit_pct=3539.1773233878503, buy_withdraw=True, sell_deposit=True)
Opportunity(buy_exchange='kucoin', sell_exchange='okx', symbol='LAYER/USDT', buy_price=0.01076, sell_price=0.3907, profit_pct=3531.040892193308, buy_withdraw=True, sell_deposit=True)
Opportunity(buy_exchange='kucoin', sell_exchange='gate', symbol='LAYER/USDT', buy_price=0.01076, sell_price=0.3907, profit_pct=3531.040892193308, buy_withdraw=True, sell_deposit=True)
Opportunity(buy_exchange='kucoin', sell_exchange='mexc', symbol='LAYER/USDT', buy_price=0.01076, sell_price=0.3902094, profit_pct=3526.481412639405, buy_withdraw=True, sell_deposit=True)
Opportunity(buy_exchange='kucoin', sell_exchange='bitrue', symbol='LAYER/USDT', buy_price=0.01076, sell_price=0.38972, profit_pct=3521.933085501859, buy_withdraw=True, sell_deposit=True)
