dt,ts,open,high,low,close,volume
2025-09-30 16:40:00+00:00,1759250400000,6.941,7.262,6.915,7.246,223660.08
2025-09-30 16:41:00+00:00,1759250460000,7.244,7.409,6.967,7.358,144700.14
2025-09-30 16:42:00+00:00,1759250520000,7.355,7.922,7.246,7.553,244561.05
2025-09-30 16:43:00+00:00,1759250580000,7.553,8.383,7.431,8.312,172401.88
2025-09-30 16:44:00+00:00,1759250640000,8.327,9.199,7.874,8.683,463321.4
2025-09-30 16:45:00+00:00,1759250700000,8.683,9.9,7.964,8.245,435630.4
2025-09-30 16:46:00+00:00,1759250760000,8.246,8.372,7.896,7.992,112249.46
2025-09-30 16:47:00+00:00,1759250820000,8.0,8.304,7.988,8.043,102642.27
2025-09-30 16:48:00+00:00,1759250880000,8.041,8.552,8.03,8.279,67840.64
2025-09-30 16:49:00+00:00,1759250940000,8.28,8.34,8.087,8.284,46234.09
2025-09-30 16:50:00+00:00,1759251000000,8.282,8.416,7.827,7.953,61001.0
