dt,timestamp,price,price_val,amount,size,price_move_pct
2025-09-30 16:40:00.408000+00:00,1759250400408,6.934,6.934,209.92,209.92,
2025-09-30 16:40:00.456000+00:00,1759250400456,6.938,6.938,532.12,532.12,
2025-09-30 16:40:01.345000+00:00,1759250401345,6.938,6.938,241.63,241.63,
2025-09-30 16:40:01.345000+00:00,1759250401345,6.939,6.939,200.81,200.81,
2025-09-30 16:40:03.548000+00:00,1759250403548,6.942,6.942,482.78,482.78,
2025-09-30 16:40:05.018000+00:00,1759250405018,6.947,6.947,198.09,198.09,
2025-09-30 16:40:05.865000+00:00,1759250405865,6.931,6.931,189.75,189.75,
2025-09-30 16:40:05.865000+00:00,1759250405865,6.932,6.932,197.55,197.55,
2025-09-30 16:40:06.634000+00:00,1759250406634,6.925,6.925,355.83,355.83,
2025-09-30 16:40:06.634000+00:00,1759250406634,6.932,6.932,184.53,184.53,
2025-09-30 16:40:08.026000+00:00,1759250408026,6.931,6.931,246.59,246.59,
2025-09-30 16:40:08.097000+00:00,1759250408097,6.957,6.957,443.74,443.74,
2025-09-30 16:40:08.751000+00:00,1759250408751,6.957,6.957,219.53,219.53,
2025-09-30 16:40:08.751000+00:00,1759250408751,6.961,6.961,253.59,253.59,
2025-09-30 16:40:09.654000+00:00,1759250409654,6.95,6.95,219.26,219.26,
2025-09-30 16:40:09.654000+00:00,1759250409654,6.954,6.954,223.87,223.87,
2025-09-30 16:40:09.654000+00:00,1759250409654,6.955,6.955,210.71,210.71,
2025-09-30 16:40:13.896000+00:00,1759250413896,6.946,6.946,197.43,197.43,
2025-09-30 16:40:13.896000+00:00,1759250413896,6.947,6.947,219.91,219.91,
2025-09-30 16:40:15.272000+00:00,1759250415272,6.95,6.95,219.47,219.47,
2025-09-30 16:40:15.272000+00:00,1759250415272,6.959,6.959,245.99,245.99,
2025-09-30 16:40:15.272000+00:00,1759250415272,6.961,6.961,200.88,200.88,
2025-09-30 16:40:16.794000+00:00,1759250416794,6.963,6.963,189.32,189.32,
2025-09-30 16:40:16.794000+00:00,1759250416794,6.967,6.967,378.51,378.51,
2025-09-30 16:40:16.794000+00:00,1759250416794,6.974,6.974,384.61,384.61,
2025-09-30 16:40:17.749000+00:00,1759250417749,7.0,7.0,723.12,723.12,
2025-09-30 16:40:18.015000+00:00,1759250418015,7.053,7.053,251.21,251.21,
2025-09-30 16:40:18.015000+00:00,1759250418015,7.06,7.06,279.93,279.93,
2025-09-30 16:40:18.192000+00:00,1759250418192,7.02,7.02,226.51,226.51,
2025-09-30 16:40:18.897000+00:00,1759250418897,7.018,7.018,249.83,249.83,
2025-09-30 16:40:18.897000+00:00,1759250418897,7.033,7.033,242.09,242.09,
2025-09-30 16:40:20.325000+00:00,1759250420325,7.029,7.029,207.49,207.49,
2025-09-30 16:40:20.325000+00:00,1759250420325,7.034,7.034,241.71,241.71,
2025-09-30 16:40:21.705000+00:00,1759250421705,7.029,7.029,206.02,206.02,
2025-09-30 16:40:21.705000+00:00,1759250421705,7.03,7.03,241.54,241.54,
2025-09-30 16:40:22.977000+00:00,1759250422977,7.098,7.098,249.19,249.19,
2025-09-30 16:40:22.977000+00:00,1759250422977,7.1,7.1,200.0,200.0,
