dt,ts,open,high,low,close,volume
2025-09-30 16:40:00+00:00,1759250400000,6.942,7.2374,6.9184,7.2374,23737.92
2025-09-30 16:41:00+00:00,1759250460000,7.2374,7.3491,6.9796,7.341,20209.14
2025-09-30 16:42:00+00:00,1759250520000,7.341,7.9,7.2758,7.5365,12689.6
2025-09-30 16:43:00+00:00,1759250580000,7.5365,8.3908,7.4094,8.2874,27944.12
2025-09-30 16:44:00+00:00,1759250640000,8.2874,9.1728,7.8916,8.7196,38697.27
2025-09-30 16:45:00+00:00,1759250700000,8.7196,9.553,7.9523,8.2481,40389.34
2025-09-30 16:46:00+00:00,1759250760000,8.2481,8.249,7.8866,8.0,42342.14
2025-09-30 16:47:00+00:00,1759250820000,8.0,8.2916,7.9832,8.053,43318.53
2025-09-30 16:48:00+00:00,1759250880000,8.053,8.523,8.0334,8.2764,28000.35
2025-09-30 16:49:00+00:00,1759250940000,8.2764,8.3197,8.1,8.2692,38386.01
2025-09-30 16:50:00+00:00,1759251000000,8.2692,8.3954,7.8394,7.9255,39178.25
