timestamp,open,high,low,close,volume
1759190400000,6.663,6.727,6.642,6.692,28608.88
1759191300000,6.692,6.792,6.653,6.717,73475.96
1759192200000,6.718,6.79,6.683,6.719,72058.07
1759193100000,6.718,6.734,6.672,6.713,39871.85
1759194000000,6.711,6.784,6.693,6.76,39962.01
1759194900000,6.758,6.79,6.678,6.692,41325.64
1759195800000,6.692,6.741,6.622,6.702,42534.63
1759196700000,6.703,6.745,6.683,6.693,18286.11
1759197600000,6.692,6.734,6.671,6.728,33257.26
1759198500000,6.727,6.759,6.686,6.71,23963.81
1759199400000,6.708,6.718,6.616,6.66,28167.84
1759200300000,6.66,6.753,6.647,6.743,40985.43
1759201200000,6.743,6.822,6.708,6.784,45661.09
1759202100000,6.784,6.825,6.712,6.754,34251.82
1759203000000,6.751,6.799,6.709,6.712,48240.46
1759203900000,6.711,6.756,6.665,6.69,35822.22
1759204800000,6.689,6.754,6.689,6.737,19157.88
1759205700000,6.738,6.79,6.687,6.709,29245.08
1759206600000,6.71,6.824,6.706,6.806,38699.84
1759207500000,6.805,6.838,6.719,6.742,26934.9
1759208400000,6.742,6.791,6.623,6.627,60824.48
1759209300000,6.627,6.78,6.514,6.776,107469.41
1759210200000,6.773,6.827,6.725,6.772,57971.12
1759211100000,6.772,6.775,6.726,6.765,25216.84
1759212000000,6.764,6.827,6.674,6.717,68032.6
1759212900000,6.717,6.757,6.666,6.704,39978.93
1759213800000,6.705,6.772,6.702,6.745,14986.94
1759214700000,6.744,6.773,6.692,6.704,14881.75
1759215600000,6.704,6.728,6.607,6.617,25749.91
1759216500000,6.616,6.681,6.528,6.547,48648.18
1759217400000,6.546,6.664,6.542,6.64,29542.38
1759218300000,6.64,6.685,6.571,6.592,26327.98
1759219200000,6.592,6.67,6.572,6.656,23197.84
1759220100000,6.655,6.678,6.592,6.652,32941.75
1759221000000,6.653,6.72,6.639,6.692,34753.04
1759221900000,6.693,6.698,6.59,6.631,35157.04
1759222800000,6.63,6.69,6.626,6.657,17590.11
1759223700000,6.658,6.744,6.658,6.738,35614.04
1759224600000,6.738,6.743,6.664,6.673,16320.96
1759225500000,6.671,6.719,6.668,6.709,15494.13
1759226400000,6.71,6.745,6.678,6.683,22018.0
1759227300000,6.685,6.698,6.601,6.613,38832.28
1759228200000,6.614,6.646,6.607,6.627,13801.81
1759229100000,6.628,6.637,6.52,6.552,49588.86
1759230000000,6.552,6.66,6.542,6.632,41114.05
1759230900000,6.629,6.664,6.577,6.657,58610.5
1759231800000,6.655,6.74,6.61,6.72,46802.96
1759232700000,6.721,6.736,6.696,6.702,24573.63
1759233600000,6.702,6.74,6.64,6.705,43473.88
1759234500000,6.703,6.713,6.668,6.682,20248.48
1759235400000,6.681,6.798,6.671,6.729,42597.8
1759236300000,6.729,7.557,6.514,6.759,521001.87
1759237200000,6.763,7.2,6.696,7.003,299401.85
1759238100000,7.003,7.142,6.742,7.078,144337.46
1759239000000,7.075,7.099,6.896,6.981,95118.35
1759239900000,6.981,7.306,6.864,7.119,144625.1
1759240800000,7.119,7.177,7.034,7.057,140324.13
1759241700000,7.057,7.136,6.917,7.085,101544.51
1759242600000,7.087,7.149,7.031,7.091,87091.04
1759243500000,7.089,7.139,7.018,7.096,116953.34
1759244400000,7.097,7.168,7.047,7.07,158643.56
1759245300000,7.074,7.122,6.956,6.998,96684.98
1759246200000,6.997,7.095,6.984,7.052,31524.74
1759247100000,7.053,7.147,7.033,7.109,49971.95
1759248000000,7.109,7.123,6.534,6.562,352602.17
1759248900000,6.563,6.8,6.461,6.553,222849.45
1759249800000,6.555,9.199,6.536,8.683,1501354.28
1759250700000,8.683,9.9,7.715,7.986,1114169.37
1759251600000,7.985,9.7,7.519,8.761,1748255.49
1759252500000,8.76,12.0,8.73,11.391,2553721.85
1759253400000,11.404,15.35,10.45,11.776,2714823.15
1759254300000,11.777,12.069,8.51,8.65,1842694.45
1759255200000,8.65,8.889,6.879,7.45,1628120.08
1759256100000,7.451,7.859,7.171,7.826,652390.27
1759257000000,7.825,8.036,7.438,7.902,492932.46
1759257900000,7.904,7.947,7.671,7.708,243053.55
1759258800000,7.709,7.765,7.284,7.472,325552.8
1759259700000,7.466,7.535,7.109,7.169,363889.52
1759260600000,7.168,7.451,7.019,7.087,371583.85
1759261500000,7.086,7.339,6.993,7.325,250914.76
1759262400000,7.321,7.498,7.129,7.38,318034.11
1759263300000,7.381,7.453,7.215,7.254,188096.0
1759264200000,7.255,7.293,7.042,7.066,149499.27
1759265100000,7.064,7.069,6.833,6.988,268173.97
