human_utc,timestamp,close,pct15_pct_str,pct30_pct_str,pct60_pct_str,action,action_desc,reason,pos_side,pos_entry,pos_size,pos_notional,equity_fmt,timestamp_dt,open_price,trade_pnl,trade_entry_time,trade_exit_time,trade_duration_min
2025-10-01 07:00:00 UTC,2025-10-01 07:00:00+00:00,14.546,+5.28%,+6.87%,+5.99%,open_short,Open SHORT (quick rise),Quick rise: +5.28%,short,14.538727,137.56362575623024,2000.0,"$9,998.60",2025-10-01 07:00:00+00:00,14.538727,,,,
2025-10-02 16:15:00 UTC,2025-10-02 16:15:00+00:00,11.013,-8.81%,-10.52%,-13.60%,open_long,Open LONG (signal: deep drop),Deep drop: -8.81% / -10.52% / -13.60%,long,11.0185065,181.4873912358268,1999.720000000001,"$10,481.79",2025-10-02 16:15:00+00:00,11.0185065,,,,
2025-10-02 16:30:00 UTC,2025-10-02 16:30:00+00:00,10.828,-1.68%,-10.34%,-11.65%,close_long_sl,Close LONG (SL hit),Long SL hit,,,,,"$10,443.46",2025-10-02 16:30:00+00:00,11.0185065,-38.33181846431452,2025-10-02T16:15:00+00:00,2025-10-02T16:30:00+00:00,15
2025-10-02 17:15:00 UTC,2025-10-02 17:15:00+00:00,10.55,+8.05%,+1.57%,-4.20%,open_short,Open SHORT (quick rise),Quick rise: +8.05%,short,10.544725,198.0262482138492,2088.132330196781,"$10,443.46",2025-10-02 17:15:00+00:00,10.544725,,,,
2025-10-03 03:00:00 UTC,2025-10-03 03:00:00+00:00,9.331,-6.39%,-11.66%,-15.22%,open_long,Open LONG (signal: deep drop),Deep drop: -6.39% / -11.66% / -15.22%,long,9.3356655,223.6412596049584,2087.839991670553,"$10,680.13",2025-10-03 03:00:00+00:00,9.3356655,,,,
2025-10-03 04:00:00 UTC,2025-10-03 04:00:00+00:00,9.211,-0.72%,-2.04%,-1.29%,close_long_sl,Close LONG (SL hit),Long SL hit,,,,,"$10,648.32",2025-10-03 04:00:00+00:00,9.3356655,-31.813068028241908,2025-10-03T03:00:00+00:00,2025-10-03T04:00:00+00:00,60
2025-10-04 00:15:00 UTC,2025-10-04 00:15:00+00:00,7.291,-12.21%,-11.84%,-12.66%,open_long,Open LONG (signal: deep drop),Deep drop: -12.21% / -11.84% / -12.66%,long,7.2946455,291.7919762264541,2128.5190263164104,"$10,648.32",2025-10-04 00:15:00+00:00,7.2946455,,,,
2025-10-04 00:30:00 UTC,2025-10-04 00:30:00+00:00,7.877,+8.04%,-5.15%,-4.57%,close_long_tp,Close LONG (TP hit),Long TP hit,,,,,"$10,814.00",2025-10-04 00:30:00+00:00,7.2946455,165.67907708075322,2025-10-04T00:15:00+00:00,2025-10-04T00:30:00+00:00,15
2025-10-04 01:00:00 UTC,2025-10-04 01:00:00+00:00,8.104,+5.22%,+2.88%,-2.42%,open_short,Open SHORT (quick rise),Quick rise: +5.22%,short,8.099948,266.83589191793294,2161.3568490688767,"$10,814.00",2025-10-04 01:00:00+00:00,8.099948,,,,
2025-10-04 04:45:00 UTC,2025-10-04 04:45:00+00:00,5.389,-7.28%,-13.90%,-14.69%,open_long,Open LONG (signal: deep drop),Deep drop: -7.28% / -13.90% / -14.69%,long,5.3916945,400.811703836337,2161.054259110007,"$11,534.14",2025-10-04 04:45:00+00:00,5.3916945,,,,
2025-10-04 05:00:00 UTC,2025-10-04 05:00:00+00:00,5.752,+6.74%,-1.03%,-4.64%,close_long_tp,Close LONG (TP hit),Long TP hit,,,,,"$11,674.27",2025-10-04 05:00:00+00:00,5.3916945,140.13616758478867,2025-10-04T04:45:00+00:00,2025-10-04T05:00:00+00:00,15
2025-10-04 05:30:00 UTC,2025-10-04 05:30:00+00:00,6.53,+10.98%,+13.53%,+12.35%,open_short,Open SHORT (quick rise),Quick rise: +10.98%,short,6.526735,357.4232422564686,2332.806785048773,"$11,674.27",2025-10-04 05:30:00+00:00,6.526735,,,,
