human_utc,timestamp,close,pct15_pct_str,pct30_pct_str,pct60_pct_str,long_signal,short_quick,action,action_desc,pos_side,pos_entry,pos_size,pos_notional,equity_fmt
2025-09-30 00:00:00 UTC,2025-09-30 00:00:00+00:00,16.12,,,,False,False,,,,,,,"$10,000.00"
2025-09-30 00:15:00 UTC,2025-09-30 00:15:00+00:00,16.018,-0.63%,,,False,False,,,,,,,"$10,000.00"
2025-09-30 00:30:00 UTC,2025-09-30 00:30:00+00:00,15.992,-0.16%,-0.79%,,False,False,,,,,,,"$10,000.00"
2025-09-30 00:45:00 UTC,2025-09-30 00:45:00+00:00,16.023,+0.19%,+0.03%,,False,False,,,,,,,"$10,000.00"
2025-09-30 01:00:00 UTC,2025-09-30 01:00:00+00:00,15.743,-1.75%,-1.56%,-2.34%,False,False,,,,,,,"$10,000.00"
2025-09-30 01:15:00 UTC,2025-09-30 01:15:00+00:00,15.643,-0.64%,-2.37%,-2.34%,False,False,,,,,,,"$10,000.00"
2025-09-30 01:30:00 UTC,2025-09-30 01:30:00+00:00,15.701,+0.37%,-0.27%,-1.82%,False,False,,,,,,,"$10,000.00"
2025-09-30 01:45:00 UTC,2025-09-30 01:45:00+00:00,15.698,-0.02%,+0.35%,-2.03%,False,False,,,,,,,"$10,000.00"
2025-09-30 02:00:00 UTC,2025-09-30 02:00:00+00:00,15.679,-0.12%,-0.14%,-0.41%,False,False,,,,,,,"$10,000.00"
2025-09-30 02:15:00 UTC,2025-09-30 02:15:00+00:00,15.684,+0.03%,-0.09%,+0.26%,False,False,,,,,,,"$10,000.00"
2025-09-30 02:30:00 UTC,2025-09-30 02:30:00+00:00,15.683,-0.01%,+0.03%,-0.11%,False,False,,,,,,,"$10,000.00"
2025-09-30 02:45:00 UTC,2025-09-30 02:45:00+00:00,15.719,+0.23%,+0.22%,+0.13%,False,False,,,,,,,"$10,000.00"
2025-09-30 03:00:00 UTC,2025-09-30 03:00:00+00:00,15.876,+1.00%,+1.23%,+1.26%,False,False,,,,,,,"$10,000.00"
2025-09-30 03:15:00 UTC,2025-09-30 03:15:00+00:00,16.026,+0.94%,+1.95%,+2.18%,False,False,,,,,,,"$10,000.00"
2025-09-30 03:30:00 UTC,2025-09-30 03:30:00+00:00,16.087,+0.38%,+1.33%,+2.58%,False,False,,,,,,,"$10,000.00"
2025-09-30 03:45:00 UTC,2025-09-30 03:45:00+00:00,16.037,-0.31%,+0.07%,+2.02%,False,False,,,,,,,"$10,000.00"
2025-09-30 04:00:00 UTC,2025-09-30 04:00:00+00:00,16.268,+1.44%,+1.13%,+2.47%,False,False,,,,,,,"$10,000.00"
2025-09-30 04:15:00 UTC,2025-09-30 04:15:00+00:00,16.209,-0.36%,+1.07%,+1.14%,False,False,,,,,,,"$10,000.00"
2025-09-30 04:30:00 UTC,2025-09-30 04:30:00+00:00,16.266,+0.35%,-0.01%,+1.11%,False,False,,,,,,,"$10,000.00"
2025-09-30 04:45:00 UTC,2025-09-30 04:45:00+00:00,16.131,-0.83%,-0.48%,+0.59%,False,False,,,,,,,"$10,000.00"
2025-09-30 05:00:00 UTC,2025-09-30 05:00:00+00:00,16.002,-0.80%,-1.62%,-1.64%,False,False,,,,,,,"$10,000.00"
2025-09-30 05:15:00 UTC,2025-09-30 05:15:00+00:00,15.987,-0.09%,-0.89%,-1.37%,False,False,,,,,,,"$10,000.00"
2025-09-30 05:30:00 UTC,2025-09-30 05:30:00+00:00,16.06,+0.46%,+0.36%,-1.27%,False,False,,,,,,,"$10,000.00"
2025-09-30 05:45:00 UTC,2025-09-30 05:45:00+00:00,16.058,-0.01%,+0.44%,-0.45%,False,False,,,,,,,"$10,000.00"
2025-09-30 06:00:00 UTC,2025-09-30 06:00:00+00:00,15.956,-0.64%,-0.65%,-0.29%,False,False,,,,,,,"$10,000.00"
2025-09-30 06:15:00 UTC,2025-09-30 06:15:00+00:00,15.919,-0.23%,-0.87%,-0.43%,False,False,,,,,,,"$10,000.00"
