ts,price,funding,decision,reason,position
1759552860000,5.782,,hold,insufficient history for sma,None
1759552920000,5.797,,hold,slope=0.0013,None
1759552980000,5.868,,hold,not near support: price 5.868000 > low 5.782,None
1759553040000,5.812,,hold,slope=-0.0005,None
1759553100000,5.819,,hold,slope=0.0006,None
1759553160000,5.774,,hold,slope=-0.0060,None
1759553220000,5.779,,hold,slope=-0.0050,None
1759553280000,5.734,,hold,not near resistance: price 5.734000 < high 5.868,None
1759553340000,5.696,,hold,not near resistance: price 5.696000 < high 5.868,None
1759553400000,5.652,,hold,not near resistance: price 5.652000 < high 5.868,None
1759553460000,5.669,,hold,not near resistance: price 5.669000 < high 5.868,None
1759553520000,5.648,,hold,not near resistance: price 5.648000 < high 5.868,None
1759553580000,5.378,,hold,not near resistance: price 5.378000 < high 5.868,None
1759553640000,5.494,,hold,not near resistance: price 5.494000 < high 5.868,None
1759553700000,5.49,,hold,not near resistance: price 5.490000 < high 5.868,None
1759553760000,5.43,,hold,not near resistance: price 5.430000 < high 5.868,None
1759553820000,5.383,,hold,not near resistance: price 5.383000 < high 5.868,None
1759553880000,5.373,,hold,not near resistance: price 5.373000 < high 5.868,None
1759553940000,5.389,,hold,slope=-0.0069,None
1759554000000,5.383,,hold,slope=-0.0046,None
1759554060000,5.408,,hold,slope=0.0025,None
1759554120000,5.533,,hold,not near support: price 5.533000 > low 5.373,None
1759554180000,5.621,,hold,not near support: price 5.621000 > low 5.373,None
1759554240000,5.53,,hold,not near support: price 5.530000 > low 5.373,None
1759554300000,5.479,,hold,slope=-0.0024,None
1759554360000,5.471,,hold,slope=-0.0065,None
1759554420000,5.628,,hold,not near support: price 5.628000 > low 5.373,None
1759554480000,5.663,,hold,not near support: price 5.663000 > low 5.373,None
1759554540000,5.701,,hold,not near support: price 5.701000 > low 5.373,None
1759554600000,5.695,,hold,not near support: price 5.695000 > low 5.373,None
1759554660000,5.684,,hold,slope=0.0077,None
1759554720000,5.661,,hold,slope=-0.0019,None
1759554780000,5.682,,hold,slope=0.0002,None
1759554840000,5.752,,hold,not near support: price 5.752000 > low 5.373,None
1759554900000,5.768,,hold,not near support: price 5.768000 > low 5.373,None
1759554960000,5.724,,hold,slope=0.0021,None
1759555020000,5.763,,hold,slope=0.0066,None
1759555080000,5.881,,enter,"slope=0.0207,funding=0.000000,vol=0.009491615765224717,trend=up,sr_low=None,sr_high=5.881,atr=0.008954666154753635,mom=0.006411901476066649","Position(symbol='MYX/USDT', direction='long', entry_price=5.886881, size=446.6945, qty=75.8796551178799, entry_time=1759567206.218027, pnl=0.0, exit_price=None, exit_time=None)"
1759555140000,5.843,,hold,in_position pct=-0.0075,"Position(symbol='MYX/USDT', direction='long', entry_price=5.886881, size=446.6945, qty=75.8796551178799, entry_time=1759567206.218027, pnl=0.0, exit_price=None, exit_time=None)"
1759555200000,5.868,,hold,in_position pct=-0.0032,"Position(symbol='MYX/USDT', direction='long', entry_price=5.886881, size=446.6945, qty=75.8796551178799, entry_time=1759567206.218027, pnl=0.0, exit_price=None, exit_time=None)"
1759555260000,5.793,,exit,stop loss pct=-0.0159,"Position(symbol='MYX/USDT', direction='long', entry_price=5.886881, size=446.6945, qty=75.8796551178799, entry_time=1759567206.218027, pnl=-7.917559052721826, exit_price=5.787207, exit_time=1759567206.218027)"
1759555320000,5.81,,hold,slope=-0.0028,None
1759555380000,5.922,,hold,not near support: price 5.922000 > low 5.471,None
1759555440000,5.927,,hold,not near support: price 5.927000 > low 5.471,None
1759555500000,5.937,,enter,"slope=0.0104,funding=0.000000,vol=0.010212578664620699,trend=up,sr_low=5.471,sr_high=None,atr=0.0069671663809996705,mom=0.002706771016309818","Position(symbol='MYX/USDT', direction='long', entry_price=5.942937000000001, size=574.1215000000001, qty=96.60568503418428, entry_time=1759567206.219027, pnl=0.0, exit_price=None, exit_time=None)"
1759555560000,5.893,,hold,in_position pct=-0.0084,"Position(symbol='MYX/USDT', direction='long', entry_price=5.942937000000001, size=574.1215000000001, qty=96.60568503418428, entry_time=1759567206.219027, pnl=0.0, exit_price=None, exit_time=None)"
1759555620000,5.919,,hold,in_position pct=-0.0040,"Position(symbol='MYX/USDT', direction='long', entry_price=5.942937000000001, size=574.1215000000001, qty=96.60568503418428, entry_time=1759567206.219027, pnl=0.0, exit_price=None, exit_time=None)"
1759555680000,5.95,,hold,in_position pct=0.0012,"Position(symbol='MYX/USDT', direction='long', entry_price=5.942937000000001, size=574.1215000000001, qty=96.60568503418428, entry_time=1759567206.219027, pnl=0.0, exit_price=None, exit_time=None)"
1759555740000,5.884,,hold,in_position pct=-0.0099,"Position(symbol='MYX/USDT', direction='long', entry_price=5.942937000000001, size=574.1215000000001, qty=96.60568503418428, entry_time=1759567206.219027, pnl=0.0, exit_price=None, exit_time=None)"
1759555800000,5.766,,exit,stop loss pct=-0.0298,"Position(symbol='MYX/USDT', direction='long', entry_price=5.942937000000001, size=574.1215000000001, qty=96.60568503418428, entry_time=1759567206.219027, pnl=-18.102385613411542, exit_price=5.760234, exit_time=1759567206.2200274)"
1759555860000,5.786,,hold,trend up - skip short entry,None
1759555920000,5.737,,hold,not near resistance: price 5.737000 < high 5.95,None
1759555980000,5.759,,hold,not near resistance: price 5.759000 < high 5.95,None
1759556040000,5.742,,hold,slope=-0.0064,None
1759556100000,5.75,,hold,slope=-0.0012,None
1759556160000,5.743,,hold,slope=-0.0017,None
1759556220000,5.745,,hold,slope=-0.0002,None
1759556280000,6.071,,enter,"slope=0.0464,funding=0.000000,vol=0.023166138185738285,trend=up,sr_low=None,sr_high=6.071,atr=0.01108175633035713,mom=0.00969199210498588","Position(symbol='MYX/USDT', direction='long', entry_price=6.077071, size=360.9536, qty=59.395982044639595, entry_time=1759567206.2210276, pnl=0.0, exit_price=None, exit_time=None)"
1759556340000,6.106,,reduce,partial_target hit pct=0.0048,"Position(symbol='MYX/USDT', direction='long', entry_price=6.077071, size=180.4768, qty=29.697991022319798, entry_time=1759567206.2210276, pnl=0.5331446902027583, exit_price=None, exit_time=None)"
1759556400000,6.195,,reduce,partial_target hit pct=0.0194,"Position(symbol='MYX/USDT', direction='long', entry_price=6.077071, size=90.2384, qty=14.848995511159899, entry_time=1759567206.2210276, pnl=2.1194279795809243, exit_price=None, exit_time=None)"
1759556460000,6.252,,reduce,partial_target hit pct=0.0288,"Position(symbol='MYX/USDT', direction='long', entry_price=6.077071, size=45.1192, qty=7.424497755579949, entry_time=1759567206.2210276, pnl=3.335173690695714, exit_price=None, exit_time=None)"
1759556520000,6.267,,reduce,partial_target hit pct=0.0313,None
