threshold_set,p15,p30,p60,sl_pct,tp_pct,risk_pct,fee_pct,slip_pct,trades,total_pnl,wins,losses,final_equity,max_drawdown
relaxed,5.0,10.0,12.0,0.01,0.02,0.2,0.0007,0.0005,8,1959.9627759603538,6,2,11948.091175491367,398.8248639026933
relaxed,5.0,10.0,12.0,0.01,0.05,0.2,0.0007,0.0005,8,1959.9627759603538,6,2,11948.091175491367,398.8248639026933
relaxed,5.0,10.0,12.0,0.02,0.02,0.2,0.0007,0.0005,8,1804.6723580432267,6,2,11792.90300068516,395.77122319072987
relaxed,5.0,10.0,12.0,0.02,0.05,0.2,0.0007,0.0005,8,1804.6723580432267,6,2,11792.90300068516,395.77122319072987
relaxed,5.0,10.0,12.0,0.03,0.02,0.2,0.0007,0.0005,8,1804.6723580432267,6,2,11792.90300068516,395.77122319072987
relaxed,5.0,10.0,12.0,0.03,0.05,0.2,0.0007,0.0005,8,1804.6723580432267,6,2,11792.90300068516,395.77122319072987
more_relaxed,3.0,7.0,10.0,0.01,0.02,0.2,0.0007,0.0005,11,1576.460389043096,7,4,11559.906402842824,279.31607889741645
more_relaxed,3.0,7.0,10.0,0.01,0.05,0.2,0.0007,0.0005,11,1576.460389043096,7,4,11559.906402842824,279.31607889741645
more_relaxed,3.0,7.0,10.0,0.02,0.02,0.2,0.0007,0.0005,11,1508.0979039515291,8,3,11491.665336226783,279.31607889741645
more_relaxed,3.0,7.0,10.0,0.03,0.02,0.2,0.0007,0.0005,11,1508.0979039515291,8,3,11491.665336226783,279.31607889741645
more_relaxed,3.0,7.0,10.0,0.02,0.05,0.2,0.0007,0.0005,11,1322.0416702146747,7,4,11305.685637656052,279.31607889741645
more_relaxed,3.0,7.0,10.0,0.03,0.05,0.2,0.0007,0.0005,11,1322.0416702146747,7,4,11305.685637656052,279.31607889741645
orig,7.0,12.0,15.0,0.01,0.02,0.2,0.0007,0.0005,1,1211.3424635458111,1,0,11209.94246354581,279.31607889741645
orig,7.0,12.0,15.0,0.01,0.05,0.2,0.0007,0.0005,1,1211.3424635458111,1,0,11209.94246354581,279.31607889741645
orig,7.0,12.0,15.0,0.02,0.02,0.2,0.0007,0.0005,1,1211.3424635458111,1,0,11209.94246354581,279.31607889741645
orig,7.0,12.0,15.0,0.02,0.05,0.2,0.0007,0.0005,1,1211.3424635458111,1,0,11209.94246354581,279.31607889741645
orig,7.0,12.0,15.0,0.03,0.02,0.2,0.0007,0.0005,1,1211.3424635458111,1,0,11209.94246354581,279.31607889741645
orig,7.0,12.0,15.0,0.03,0.05,0.2,0.0007,0.0005,1,1211.3424635458111,1,0,11209.94246354581,279.31607889741645
