htf_momentum_threshold,momentum_window,closed_trades,total_pnl,win_count,loss_count,win_rate,avg_pnl,avg_win,avg_loss,max_win,max_loss,max_drawdown_abs,max_drawdown_pct
0.005,3,32,-8.182747953682323,18,14,0.5625,-0.255711,6.626841,-9.104706,20.596302,-20.264244,42.258753,1.526963
0.005,6,32,-8.182747953682323,18,14,0.5625,-0.255711,6.626841,-9.104706,20.596302,-20.264244,42.258753,1.526963
0.005,12,32,-8.182747953682323,18,14,0.5625,-0.255711,6.626841,-9.104706,20.596302,-20.264244,42.258753,1.526963
0.01,3,32,-8.182747953682323,18,14,0.5625,-0.255711,6.626841,-9.104706,20.596302,-20.264244,42.258753,1.526963
0.01,6,32,-8.182747953682323,18,14,0.5625,-0.255711,6.626841,-9.104706,20.596302,-20.264244,42.258753,1.526963
0.01,12,32,-8.182747953682323,18,14,0.5625,-0.255711,6.626841,-9.104706,20.596302,-20.264244,42.258753,1.526963
0.02,3,32,-8.182747953682323,18,14,0.5625,-0.255711,6.626841,-9.104706,20.596302,-20.264244,42.258753,1.526963
0.02,6,32,-8.182747953682323,18,14,0.5625,-0.255711,6.626841,-9.104706,20.596302,-20.264244,42.258753,1.526963
0.02,12,32,-8.182747953682323,18,14,0.5625,-0.255711,6.626841,-9.104706,20.596302,-20.264244,42.258753,1.526963
0.03,3,32,-8.182747953682323,18,14,0.5625,-0.255711,6.626841,-9.104706,20.596302,-20.264244,42.258753,1.526963
0.03,6,32,-8.182747953682323,18,14,0.5625,-0.255711,6.626841,-9.104706,20.596302,-20.264244,42.258753,1.526963
0.03,12,32,-8.182747953682323,18,14,0.5625,-0.255711,6.626841,-9.104706,20.596302,-20.264244,42.258753,1.526963
